Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1559832080,1559832086,00:03:08,00:03:14,0,6
1559832102,1559832112,00:03:30,00:03:40,22,10
1559832121,1559832130,00:03:49,00:03:58,41,9
1559832159,1559832179,00:04:27,00:04:47,79,20
1559832204,1559832223,00:05:12,00:05:31,124,19
1559832243,1559832262,00:05:51,00:06:10,163,19
1559832284,1559832297,00:06:32,00:06:45,204,13
1559832305,1559832317,00:06:53,00:07:05,225,12
1559832605,1559832618,00:11:53,00:12:06,525,13
1559832632,1559832653,00:12:20,00:12:41,552,21
1559832657,1559832679,00:12:45,00:13:07,577,22
1559832682,1559832704,00:13:10,00:13:32,602,22
1559832852,1559832874,00:16:00,00:16:22,772,22
1559832934,1559832939,00:17:22,00:17:27,854,5
1559832995,1559833002,00:18:23,00:18:30,915,7
1559833015,1559833035,00:18:43,00:19:03,935,20
1559833043,1559833067,00:19:11,00:19:35,963,24
1559833078,1559833116,00:19:46,00:20:24,998,38
1559833123,1559833124,00:20:31,00:20:32,1043,1
1559833126,1559833130,00:20:34,00:20:38,1046,4
1559833134,1559833138,00:20:42,00:20:46,1054,4
1559833138,1559833144,00:20:46,00:20:52,1058,6
1559833145,1559833152,00:20:53,00:21:00,1065,7
1559833561,1559833570,00:27:49,00:27:58,1481,9
1559833712,1559833726,00:30:20,00:30:34,1632,14
